[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7500
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7560
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7620
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7650
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7710
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7740
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7770
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7830
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7950
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7920
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7890
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8130
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8100
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8190
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8220
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8010
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8160
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8280
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8310
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8400
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8430
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8370
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8340
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 8250
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8490
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8460
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8580
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8520
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8550
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8640
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8700
